book_idx,author_idx,book_popularity,book_avg_rating
34092,794,24,3.4363502971184063
23578,10538,27,4.87678576602479
6620,10566,41,4.3299848545285125
12074,11116,23,3.9966462104925915
17404,659,23,2.8900466011060915
10588,5636,41,2.8899863008405067
14075,10020,21,2.6452090304204985
22099,7554,31,4.6654403644373375
13271,4013,25,4.002787529358022
4370,2583,21,4.270181444490113
20185,6890,26,2.551461235739506
1300,10089,32,4.924774630404986
31504,1825,23,4.5811066020010545
12934,4843,32,3.0308477766956905
11560,2305,25,2.9545624180177517
33608,118,22,2.9585112746335844
2065,1467,28,3.260605607398844
18778,3130,24,3.8118910790805947
31284,9741,18,3.5798625466052894
19064,7991,36,3.2280728504951046
10177,221,18,4.0296322368059485
27157,3134,26,2.8487346516301044
27370,11771,30,3.2303616213380453
3704,6984,22,3.4159046082342295
15915,2962,26,3.64017496054259
855,6890,38,4.462939903482534
15432,6844,47,2.9991844553958993
13536,10007,59,3.785586096034029
33126,3719,28,3.981036422155106
33372,8549,27,2.616126031799994
34118,5588,25,4.018862129753596
14758,5730,114,2.9263103092182288
30421,1673,35,2.6626289824631986
14468,3396,27,4.872213843133333
32378,2136,26,4.914080082686398
19632,6739,33,4.520993370291153
1607,10347,28,3.2615344229334267
3801,2061,19,2.74418028501596
9476,11228,21,4.210582566280392
24476,5533,20,3.6003812343490034
6954,11857,28,2.805095587111947
23443,10819,31,3.7379422752781757
10311,6416,25,2.585971302788046
18019,373,20,4.773301005196956
30468,5796,29,3.1469499540000423
3898,9783,19,4.156305710884955
3306,10706,31,3.2792776902235277
15814,7020,20,3.800170052944527
33479,7023,26,3.8667756983581993
6294,3608,24,2.9621361388138174
10071,6020,39,4.9239615694113965
21291,9231,23,4.437832058402787
11158,4244,23,4.848747353910473
9452,9888,28,4.7370683760691215
1284,9639,152,3.994749947027713
7919,6143,20,4.804685587557792
9670,8012,31,2.7212312551297986
25947,3242,36,2.989957156047863
2568,4490,20,2.613068222276345
3811,724,26,3.313325826908161
1989,9661,26,3.471693224223705
23849,8547,25,3.1783725794347397
4330,4491,26,4.571843772879824
24828,3242,32,3.3918833167339733
5449,36,23,3.202336274218452
22095,6701,32,3.856740207895621
35652,5730,30,2.8523105624369065
