book_idx,Book-Title,Book-Author
10275,See Jane Run,Joy Fielding
35654,Die zweite Haut.,Dean Koontz
35941,Artemis Fowl.,Eoin Colfer
36205,El Diaro De Bridget Jones,Helen Fielding
296,The Boy Next Door,Meggin Cabot
3508,Skin and Other Stories (Now in Speak!),Roald Dahl
9967,Hoot (Newbery Honor Book),CARL HIAASEN
10634,A Kid's Guide to How to Save the Planet (Camelot world),Billy Goodman
14269,The Contest,Gordon Korman
27206,A String in the Harp,Nancy Bond
28979,The Sandy Bottom Orchestra,Jenny Nilson
28984,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer
34975,Stupeur Et Tremblements,Amelie Nothomb
35283,Der Stein der Kelten.,Michael Phillips
35293,Nordermoor,Arnaldur Indridason
35311,Nur der Tod ist ohne Makel.,Ann Granger
35320,Der Kleine Hobbit,J. R. R. Tolkien
35441,Auf Ehre und Gewissen. Roman.,Elizabeth George
35458,Keiner werfe den ersten Stein. Roman.,Elizabeth George
35486,Denn keiner ist ohne Schuld.,Elizabeth George
35493,Asche zu Asche.,Elizabeth George
35502,Im Angesicht des Feindes.,Elizabeth George
35513,Denn sie betrÃ?Â¼gt man nicht.,Elizabeth George
35523,Mit dem KÃ?Â¼hlschrank durch Irland.,Tony Hawks
35536,Die HirnkÃ?Â¶nigin.,Thea Dorn
35539,Undank ist der VÃ?Â¤ter Lohn.,Elizabeth George
35758,Die Welle,Rhue
35947,Harry Potter und der Stein der Weisen,Joanne K. Rowling
35948,Harry Potter und die Kammer des Schreckens,Joanne K. Rowling
35949,Harry Potter und der Gefangene von Azkaban,J. K. Rowling
35950,Harry Potter Und Der Feuerkelch,Joanne K. Rowling
36002,Saemtliche Erzaehlungen,Franz Kafka
36027,Die Gefahrten I,J. R. R. Tolkien
36028,Die Zwei Turme II,J. R. R. Tolkien
36029,Die Wiederkehr Des Konigs III,J. R. R. Tolkien
30921,Attack Of The Deranged Mutant Killer Snow Goons,Bill Watterson
30932,Calvin and Hobbes,Bill Watterson
31742,"The Best of Bombeck: At Wit's End, Just Wait Until You Have Children of Your Own, I Lost Everything in the Post-Natal Depression",Erma Bombeck
35359,Die Weiss Lowin / Contemporary German Lit,Henning Mankell
35268,Das Lacheln der Fortuna: Historischer Roman,Rebecca Gable
35655,Die Zauberin von Ruwenda.,Marion Zimmer Bradley
36425,Piccoli Equivoci Senza Importanza: Piccoli Equivoci Senza Importanza,Tabucchi
36444,Oceano Mare,Alessandro Baricco
36457,Il birraio di Preston (La memoria),Andrea Camilleri
144,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner
2640,The Music of Chance,Paul Auster
12040,The Da Vinci Code,Dan Brown
21173,Love Story,Erich Segal
23378,Bridget Jones's Diary: Music from the Motion Picture,Various
36127,Momo (Spanish Language Edition),Michael Ende
36198,Olvidado Rey Gudu,Ana Maria Matute
36505,La Sombra del Viento,Carlos Ruiz Zafon
34722,Bouquiner : Autobiobibliographie,Annie FranÃ?Â§ois
34806,Le Liseur,Berhard Schlink
34992,Les RiviÃ?Â¨res pourpres,Jean-Christophe GrangÃ?Â©
34998,Nocturne indien,Antonio Tabucchi
35010,"Amour, Prozac, et autres curiositÃ?Â©s",Lucia Etxebarria
35039,Les Heures / The Hours,Michael Cunningham
35040,Et Si C'Etait Vrai / If This Were Only True,Marc Levy
35136,Un tout petit monde,David Lodge
34824,Soie,Alessandro Baricco
34946,Les Fourmis,Bernard Werber
34957,Le Jour des fourmis,Bernard Werber
34967,La RÃ?Â©volution des fourmis,Bernard Werber
34978,L'Empire des Anges,B. Werber
35046,Ou Es-Tu?,Marc Levy
35146,Un peu plus loin sur la droite (Chemins nocturnes),Fred Vargas
36186,El Camino (Coleccion Destinolibro),Miguel Delibes
35340,Title Kassandra. ErzÃ?Â¤hlung. ( Sammlung Luchterhand im dtv).,Christa Wolf
4376,To The Last Breath : Three Women Fight For The Truth Behind A Child's Tragic Murder,Carlton Stowers
6348,"The Power That Preserves (The Chronicles of Thomas Covenant the Unbeliever, Book 3)",Stephen R. Donaldson
6399,The Terminal Man,Michael Crichton
7080,Crying Wolf,PETER ABRAHAMS
13299,The First Deadly Sin,Lawrence Sanders
14725,The Select,F. Paul Wilson
14758,The Chamber,John Grisham
19826,Darkling I Listen,Katherine Sutcliffe
26917,The Girl Who Loved Tom Gordon : A Novel,Stephen King
30247,"The Fires of Heaven (The Wheel of Time, Book 5)",Robert Jordan
31193,In the Dark,Richard Laymon
31800,Tailchaser's Song,Tad Williams
31825,"Stone of Farewell (Memory, Sorrow, and Thorn, Book 2)",Tad Williams
31826,"Stronghold (Dragon Star, Book 1)",Melanie Rawn
31840,"The Dragon Token (Dragon Star, Book 2)",Melanie Rawn
31856,"Skybowl (Dragon Star, Book 3)",Melanie Rawn
